objectid;facilityid;legacyid;location;depthus;depthds;height;invertus;invertds;diameter;width;modifydate;material;form;pslope;adminarea;shape_len;operationalarea;owner
7671;08839-PP1;29X.3168-PP1;MT. MORIAH RD. + SUNLIGHT DR.;3.59999;4.9;1.29999;275.57998;271.98999;15;;2002-12-20 12:59:53+00:00;CONCRETE;CIRCULAR;4.188;City;85.69988681;New Hope Creek;PRIVATE
7680;03775-PP1;16B.675-PP1;3822 NOTTAWAY RD;2.79999;1.5;1.29999;308.36999;307.19;15;;2002-07-30 10:58:52+00:00;CONCRETE;CIRCULAR;2.844;City;41.48087993;New Hope Creek;CITY-ROW
7682;00823-PP1;12A.1008-PP1;2422 BROAD ST;;1.5;1.29999;;369.79998;15;;2002-08-14 10:08:48+00:00;CONCRETE;CIRCULAR;;City;35.77005032;Ellerbe Creek;CITY-ROW
7729;05441-PP1;18B.759-PP1;SPRING MEADOW + INGRAM;6;5.4;1.29999;319.89999;319.07998;15;;2002-10-22 15:58:29+00:00;CONCRETE;CIRCULAR;1.063;City;77.12497974;Third Fork Creek;CITY-ROW
7737;05476-PP1;18B.797-PP1;5022 GABLE RIDGE DR;5.19999;5.19999;1.29999;336.14999;334.10998;15;;2002-10-22 15:58:43+00:00;CONCRETE;CIRCULAR;4.492;City;45.41119906;Third Fork Creek;CITY-ROW
7749;05591-PP1;18B.913-PP1;TAPESTRY + CONKLIN;7.59999;3.5;1.29999;328.26998;315.85;15;;2002-10-22 15:59:28+00:00;CONCRETE;CIRCULAR;6.139;City;202.3168703;Third Fork Creek;CITY-ROW
7760;08115-PP1;26D.81-PP1;SUMMIT HILL APARTMENTS;5.8;3.5;1.29999;270.66;268.5;15;;2002-07-30 10:53:49+00:00;CONCRETE;CIRCULAR;2.191;City;98.57871829;New Hope Creek;PRIVATE
7772;01864-PP1;14B.159-PP1;ENO VALLEY SCHOOL;2.59999;1.5;1.29999;421.26;420.72;15;;2002-03-18 14:16:50+00:00;CONCRETE;CIRCULAR;0.88;City;61.26499163;Eno River;PRIVATE
7798;06663-PP1;22D.225-PP1;918 GILBERT ST.;1.5;3;1.29999;356.58999;355.66;15;;2001-08-02 13:34:38+00:00;CONCRETE;CIRCULAR;3.536;City;26.29909504;Ellerbe Creek;CITY-ROW
7818;06703-PP1;22D.268-PP1;CANAL ST. AND GEARWOOD AVE.;3.5;4.3;1.29999;336.55999;334.89999;15;;2007-12-21 12:47:31+00:00;CONCRETE;CIRCULAR;5.135;City;32.32633601;Ellerbe Creek;CITY-ROW
