objectid;facilityid;legacyid;location;depthus;depthds;height;invertus;invertds;diameter;width;modifydate;material;form;pslope;adminarea;shape_len;operationalarea;owner
9881;14144-PP1;38X.3207-PP1;SOUTHPOINT MALL;4.3;9;1.25;309.54998;306.39999;15;;2002-11-27 08:49:47+00:00;METAL-CORRUGATED;CIRCULAR;1.314;City;239.7711229;New Hope Creek;PRIVATE
9975;10266-PP1;32X.4205-PP1;LIBERTY ST & ROXBORO ST;1.89999;3.2;1.25;408.47;408.20001;15;;2002-02-11 14:25:37+00:00;CONCRETE;CIRCULAR;0.786;City;34.34487589;Third Fork Creek;CITY-ROW
9976;32X.4207-PP1;32X.4207-PP1;MORGAN ST AND RIGSBEE AV;;5.69999;1.25;;369.64001;15;;2007-10-19 18:48:57+00:00;CONCRETE;CIRCULAR;;City;86.0473637;Ellerbe Creek;CITY-ROW
9052;11871-PP1;34X.5319-PP1;HOLSTON DR @ RED ASH CIRCLE;5.19999;4;1.25;354.27999;351.80999;15;;2002-04-09 11:54:11+00:00;CONCRETE;CIRCULAR;1.923;City;128.3523841;Eno River;CITY-ROW
9055;11874-PP1;34X.5322-PP1;HOLSTON DR @ RED ASH CIRCLE;3.59999;3.7;1.25;356.14001;356.05999;15;;2002-04-09 11:54:13+00:00;CONCRETE;CIRCULAR;1.119;City;7.134879116;Eno River;CITY-ROW
10636;14300-PP1;38X.3364-PP1;SOUTHPOINT MALL HECHTS;5.3;4.3;1.25;306.07;298.17001;15;;2002-10-11 12:44:16+00:00;METAL-CORRUGATED;CIRCULAR;4.368;City;180.8033197;New Hope Creek;PRIVATE
33381;46837-PP1;KC.494-PP1;hillandale+croasdaile 2800;4.5;4.3;1.25;391.29;390.60998;15;;2012-03-29 14:08:40+00:00;CONCRETE;CIRCULAR;0.517;City;131.2096403;Eno River;DOT-ROW
33382;46838-PP1;KC.495-PP1;HILLANDALE+CROASDAILE;4.4;1.5;1.25;390.51;388.73001;15;;2012-03-29 14:08:40+00:00;CONCRETE;CIRCULAR;0.694;City;256.512303;Eno River;DOT-ROW
33386;46486-PP1;KC.49-PP1;GRACEVIEW WY;6.9;5.5;1.25;440.97;428.95001;15;;2002-04-05 14:39:42+00:00;CONCRETE;CIRCULAR;8.1;City;148.376206;Eno River;CITY-ROW
33402;46384-PP1;JP.952-PP1;ROCK QUARRY PARK;1.39999;1.39999;1.25;351.55999;351.32998;15;;2000-09-26 18:45:00+00:00;HDPE-CORRUGATED;CIRCULAR;2.102;City;10.94642407;Ellerbe Creek;CITY
33487;43388-PP1;DC.766-PP1;2900 GUESS RD.;3.79999;4;1.25;405.11999;404.1;15;;2007-12-21 12:47:31+00:00;CONCRETE;CIRCULAR;2.023;City;50.41097202;Ellerbe Creek;DOT-ROW
33506;42361-PP1;CB.106-PP1;2531 MAHALA DR;4.8;1.5;1.25;302.88;295.19;15;;2012-04-18 15:21:50+00:00;CONCRETE;CIRCULAR;6.663;City;115.3978527;Ellerbe Creek;PRIVATE/CITY-ROW
33507;43561-PP1;DC.965-PP1;CARVER ST. AND GUESS RD.;2.5;1.5;1.25;395.01998;393.58999;15;;2010-03-05 12:12:16+00:00;CONCRETE;CIRCULAR;0.946;City;151.2131853;Eno River;DOT-ROW
33526;42283-PP1;CB.28-PP1;725 BERWYN;5.5;4.5;1.25;360.38;351.14001;15;;2000-09-01 01:06:00+00:00;CONCRETE;CIRCULAR;2.824;City;327.2342879;Ellerbe Creek;CITY-ROW
33531;45710-PP1;JP.213-PP1;CRUTCHFIELD ST & DUKE ST;3.7;3.9;1.25;374.32;374.23001;15;;2000-09-01 01:46:00+00:00;CONCRETE;CIRCULAR;0.212;City;42.21607869;Ellerbe Creek;CITY-ROW
33539;43480-PP1;DC.876-PP1;NORTH POINTE DR. AT NORTH POINTE PLAZA;4.4;3.9;1.25;393.11999;391.95999;15;;2000-09-01 01:35:00+00:00;CONCRETE;CIRCULAR;1.126;City;102.9980898;Ellerbe Creek;CITY-ROW
33568;46420-PP1;JR3.31-PP1;HOOVER RD;;2.29999;1.25;;;15;;2013-02-28 16:16:44+00:00;CONCRETE;CIRCULAR;;City;79.11179748;Ellerbe Creek;PRIVATE
33569;45689-PP1;JP.188-PP1;3015 DUKE ST;4.4;4.9;1.25;392.10998;391.23999;15;;2010-03-01 15:22:12+00:00;CONCRETE;CIRCULAR;3.158;City;27.54098401;Ellerbe Creek;DOT-ROW/CITY-ROW
33645;46581-PP1;KC.151-PP1;STONEYBROOKDR;5;10.19999;1.25;455.86999;450.39001;15;;2010-03-05 12:12:16+00:00;CONCRETE;CIRCULAR;8.793;City;62.32102695;Ellerbe Creek;DOT-ROW
33650;46393-PP1;JP.961-PP1;COUNTY STADIUM;1.39999;1.39999;1.25;361.45001;353.11999;15;;2012-02-07 15:45:45+00:00;HDPE-CORRUGATED;CIRCULAR;2.46;City;338.5401867;Ellerbe Creek;COUNTY
33671;45727-PP1;JP.233-PP1;DUKE ST & STADIUM DR;6.5;6.9;1.25;340.67001;340.20001;15;;2010-03-05 12:12:16+00:00;CONCRETE;CIRCULAR;0.717;City;65.54885277;Ellerbe Creek;DOT-ROW
33696;46569-PP1;KC.139-PP1;colemillrd;6.09999;4.69999;1.25;497.22;490.51;15;;2010-03-05 12:12:16+00:00;CONCRETE;CIRCULAR;1.338;City;500.1902458;Ellerbe Creek;DOT-ROW
33701;45759-PP1;JP.267-PP1;4019 ROXBORO ST;3.59999;;1.25;391.58999;;15;;2012-03-09 14:10:09+00:00;CONCRETE;CIRCULAR;;City;14.43720194;Eno River;DOT-ROW
33812;46283-PP1;JP.830-PP1;407 CRUTCHFIELD ST;6.5;6.8;1.25;378.6;377.44;15;;2012-02-07 15:45:45+00:00;CONCRETE;CIRCULAR;1.659;City;69.86508427;Ellerbe Creek;COUNTY
33832;42915-PP1;DC.236-PP1;COURTYARD MOTEL FRONT ST.;5;5.09999;1.25;407.89001;406.82998;15;;2000-09-01 01:20:00+00:00;CONCRETE;CIRCULAR;0.808;City;131.0725852;Ellerbe Creek;PRIVATE
33834;42917-PP1;DC.238-PP1;COURTYARD MOTEL FRONT ST.;5.09999;5.09999;1.25;407.11999;406.82998;15;;2002-04-05 15:28:42+00:00;CONCRETE;CIRCULAR;0.401;City;72.20710353;Ellerbe Creek;PRIVATE
33896;46154-PP1;JP.683-PP1;423 W MAYNARD AV;3.29999;5.4;1.25;320.98001;318.36999;15;;2000-09-01 01:58:00+00:00;CONCRETE;CIRCULAR;6.27;City;41.64292017;Ellerbe Creek;CITY-ROW
33921;46044-PP1;JP.568-PP1;REGENCY PL;3.4;3.2;1.25;386.97;385.76;15;;2000-09-01 01:55:00+00:00;CONCRETE;CIRCULAR;0.827;City;146.2660948;Eno River;PRIVATE
33932;47673-PP1;KLC.626-PP1;N. DUKE ST 2305;5.3;5.09999;1.25;;344.89999;15;;2007-12-21 12:47:31+00:00;CONCRETE;CIRCULAR;;City;9.733781382;Ellerbe Creek;DOT-ROW
33965;43478-PP1;DC.874-PP1;NORTH POINTE DR. AT NORTH POINTE PLAZA;4.3;4.8;1.25;389.19;378.05999;15;;2000-09-01 01:35:00+00:00;CONCRETE;CIRCULAR;3.466;City;321.0644222;Ellerbe Creek;CITY-ROW
34625;45536-PP1;JP.27-PP1;SHAFTSBURY ST + NEWSOM ST;3.79999;2.29999;1.25;393.30999;388.11999;15;;2000-09-01 01:41:00+00:00;CONCRETE;CIRCULAR;1.431;City;362.5642118;Eno River;CITY-ROW
34628;45922-PP1;JP.439-PP1;REGENCY PLACE;3.79999;5.19999;1.25;385.29;384.64001;15;;2006-04-11 18:46:13+00:00;CONCRETE;CIRCULAR;0.673;City;96.57696257;Ellerbe Creek;PRIVATE
34740;45909-PP1;JP.426-PP1;ROCK QUARRY PARK ENT;4.5;4.09999;1.25;374.80999;367.51;15;;2000-09-01 01:50:00+00:00;CONCRETE;CIRCULAR;3.359;City;217.2683458;Ellerbe Creek;CITY-ROW
34774;46965-PP1;KC.623-PP1;WEATHER HILL CIR/pool;5.09999;5.59999;1.25;362.94;361;15;;2012-02-21 18:17:16+00:00;CONCRETE;CIRCULAR;2.816;City;68.89197994;Eno River;PRIVATE
34831;43240-PP1;DC.598-PP1;GALAXY CT. AND STREBOR ST.;3.7;4.19999;1.25;385.6;384.26;15;;2000-09-01 01:29:00+00:00;CONCRETE;CIRCULAR;4.173;City;32.11132199;Ellerbe Creek;CITY-ROW
34888;21713-PS2;46X.5204-PS2;;4.5;4.19999;1.25;263.621;260.62001;15;;2012-10-18 15:25:47+00:00;CONCRETE;CIRCULAR;14.15221127;City;21.20509609;New Hope Creek;PRIVATE
34893;43488-PP1;DC.884-PP1;GUESS RD. AND NORTH POINTE DR.;3.09999;2.2;1.25;398.58999;396.26998;15;;2014-09-17 15:33:26+00:00;CONCRETE;CIRCULAR;1.927;City;123.2510376;Ellerbe Creek;PRIVATE
34908;45953-PP1;JP.471-PP1;MURRAY ST AT MUSEUM;2;4.09999;1.25;329.39999;327.63;15;;2000-09-01 01:52:00+00:00;CONCRETE;CIRCULAR;1.001;City;176.8163906;Ellerbe Creek;CITY
34951;45762-PS2;JP.270-PS2;;;2.9;1.25;;393;15;;2012-01-30 15:08:12+00:00;CONCRETE;CIRCULAR;;City;27.4800746;Eno River;DOT-ROW/PRIVATE
34961;45762-PP1;JP.270-PP1;4019 ROXBORO ST;3.4;4.3;1.25;392.48999;391.13;15;;2012-01-30 15:08:12+00:00;CONCRETE;CIRCULAR;2.325;City;58.46094936;Eno River;DOT-ROW
34972;45840-PP1;JP.353-PP1;DURHAM HOSP.;5;5.69999;1.25;388.02999;385.05999;15;;2012-02-07 15:45:45+00:00;CONCRETE;CIRCULAR;3.909;City;75.96147247;Ellerbe Creek;COUNTY
34973;45841-PP1;JP.354-PP1;DURHAM HOSP.;4.3;4.9;1.25;388.6;388.13;15;;2012-02-07 15:45:45+00:00;CONCRETE;CIRCULAR;1.679;City;27.97766252;Ellerbe Creek;COUNTY
34977;45845-PP1;JP.358-PP1;OLYMPIC AV;4.4;5.09999;1.25;384.76;384.10998;15;;2000-09-01 01:49:00+00:00;CONCRETE;CIRCULAR;1.47;City;44.18319251;Ellerbe Creek;CITY-ROW
34978;45846-PP1;JP.359-PP1;OLYMPIC AV;5.19999;5;1.25;384.01;373.64001;15;;2012-02-07 15:45:45+00:00;CONCRETE;CIRCULAR;3.119;City;332.3996107;Ellerbe Creek;COUNTY
35188;29132-PS2;711D.233-PS2;;4.8;;1.25;380.89999;;15;;2010-04-30 13:06:40+00:00;CONCRETE;CIRCULAR;;City;27.49627066;Stirrup Iron Creek;DOT-ROW
35270;43537-PP1;DC.934-PP1;3000 GUESS RD., CHURCH PARKING LOT;5;4.9;1.25;398.70001;397.76;15;;2000-09-01 01:37:00+00:00;CONCRETE;CIRCULAR;1.451;City;64.74674123;Eno River;PRIVATE
35276;42788-PP1;DC.93-PP1;WILDMEADOW DR. AND HAYFIELD DR.;5;5;1.25;416.42001;415.51;15;;2000-09-01 01:17:00+00:00;CONCRETE;CIRCULAR;1.909;City;47.67215644;Eno River;CITY-ROW
35293;43368-PP1;DC.745-PP1;ROWEMONT DR. AND MCBENSON PL.;5.69999;6.8;1.25;343.23001;339.76998;15;;2000-09-01 01:32:00+00:00;CONCRETE;CIRCULAR;2.263;City;152.9077189;Eno River;CITY-ROW
35321;46224-PP1;JP.753-PP1;NORTHGATE PARK AT ELLERBEE ST;2.5;2.4;1.25;301.89001;301.89001;15;;2006-04-11 18:46:13+00:00;CONCRETE;CIRCULAR;0;City;32.20544674;Ellerbe Creek;CITY-ROW
35411;43568-PP3;DC.972-PP3;CARVER ST. NEAR DUKE HOMESTEAD RD., BEHIND CHURCH;2;1.5;1.25;382.79998;383.42001;15;;2002-04-02 12:34:58+00:00;HDPE-CORRUGATED;CIRCULAR;-1.93;City;32.10664261;Eno River;PRIVATE
35417;45980-PP1;JP.502-PP1;DUR HOSP;5.5;7.59999;1.25;390.83999;388.42001;15;;2012-02-07 15:45:45+00:00;CONCRETE;CIRCULAR;1.874;City;129.1500871;Ellerbe Creek;COUNTY
35556;45933-PP1;JP.450-PP1;MURRAY ST MUSEUM;3.7;3;1.25;329.26;326.61999;15;;2000-09-01 01:51:00+00:00;CONCRETE;CIRCULAR;6.1;City;43.27754268;Ellerbe Creek;CITY
35568;45624-PP1;JP.118-PP1;3501 DUKE HOMESTEAD ST;3.29999;2.9;1.25;392.85998;392.47;15;;2000-09-01 01:44:00+00:00;CONCRETE;CIRCULAR;1.162;City;33.55474482;Eno River;CITY-ROW
35580;46715-PP1;KC.292-PP1;clover pl;4;3.79999;1.25;411.73999;403.36999;15;;2000-09-01 02:12:00+00:00;CONCRETE;CIRCULAR;3.587;City;233.2815145;Ellerbe Creek;CITY-ROW
35589;46037-PP1;JP.561-PP1;3101 ROXBORO ST;3.09999;3.29999;1.25;380.92001;380.45001;15;;2010-03-05 12:12:16+00:00;CONCRETE;CIRCULAR;0.199;City;235.8952482;Ellerbe Creek;DOT-ROW
35590;46038-PP1;JP.562-PP1;ROXBORO ST & CHANNING;3.4;5;1.25;380.35;379.89001;15;;2010-03-05 12:12:16+00:00;CONCRETE;CIRCULAR;0.168;City;271.8643193;Ellerbe Creek;DOT-ROW
8202;10424-PP1;32X.4367-PP1;BROGDEN SCH LEON ST;;8;1.2;;368.20001;15;;2002-08-14 10:09:26+00:00;CONCRETE;CIRCULAR;;City;37.06229621;Ellerbe Creek;PRIVATE
8920;03876-PP1;16B.779-PP1;DOVER + AVON;1.7;1.79999;1.2;321.32;321.25;15;;2002-07-30 10:58:24+00:00;METAL-CORRUGATED;CIRCULAR;0.218;City;31.96810442;Third Fork Creek;PRIVATE
8924;03471-PP1;16B.360-PP1;3946 WENTWORTH DR;1.79999;1.5;1.2;308.16;303.10998;15;;2002-07-30 11:00:26+00:00;PVC;CIRCULAR;4.589;City;110.0216965;New Hope Creek;PRIVATE
32842;47302-PP1;KLC.134-PP1;MOUNTAINVIEW AVE 1507;2;2.59999;1.2;387.42001;386.54998;15;;2001-08-02 17:06:40+00:00;CONCRETE;CIRCULAR;5.858;City;14.84651137;Ellerbe Creek;PRIVATE
2935;01200-PP1;13D.239-PP1;LIBERTY+SPRUCE ST;1.2;2.4;1;373.48999;369.79;12;;2001-09-20 19:16:13+00:00;CONCRETE;CIRCULAR;6.827;City;54.19548413;Ellerbe Creek;PRIVATE
2936;01366-PP1;13D.414-PP1;JUNIPER+HYDE PK;3.09999;3.09999;1;355.19;354.73999;12;;2001-09-20 19:10:57+00:00;CONCRETE;CIRCULAR;1.475;City;30.49150701;Ellerbe Creek;CITY-ROW
3107;00342-PP1;111B.6-PP1;4919 MIAMI BD;4.09999;;1;365.95999;;12;;2003-03-25 17:30:43+00:00;CONCRETE;CIRCULAR;;City;32.83116964;Stirrup Iron Creek;PRIVATE
3113;01210-PP1;13D.249-PP1;LIBERTY+N DRIVER;3.09999;3.5;1;385.57998;384.54998;12;;2001-09-20 19:15:52+00:00;CONCRETE;CIRCULAR;1.948;City;52.84239397;Ellerbe Creek;CITY-ROW
3133;04444-PP1;16B.1363-PP1;506 CARVED OAK DR;1.5;1.6;1;285.41;284.39999;12;;2002-07-30 10:55:39+00:00;CONCRETE;CIRCULAR;0.73;City;138.0789951;Third Fork Creek;PRIVATE
3140;04489-PP1;16B.1408-PP1;CVS/PHARMACY;6.69999;3.7;1;296.20999;290.32998;12;;2002-07-30 10:55:26+00:00;CONCRETE;CIRCULAR;3.739;City;157.2616927;New Hope Creek;PRIVATE
3159;02658-PP1;15B.197-PP1;DUNBARTON COMMUNITY;1.79999;1.2;1;317.07998;315.79;12;;2002-06-25 16:30:12+00:00;CONCRETE;CIRCULAR;3.852;City;33.48726325;Third Fork Creek;PRIVATE
3160;02659-PP1;15B.198-PP1;DUNBARTON COMMUNITY;1.1;1.1;1;301.23999;289.26998;12;;2002-06-25 16:30:11+00:00;HDPE-CORRUGATED;CIRCULAR;14.295;City;83.73525482;Third Fork Creek;PRIVATE
3173;00807-PP1;11C.2-PP1;ALBANY ST;1.1;2.7;1;405.13;404.48001;12;;2010-01-25 08:09:03+00:00;CONCRETE;CIRCULAR;1.224;City;53.05649253;Ellerbe Creek;DOT-ROW/CITY-ROW
3205;04302-PP1;16B.1220-PP1;BEECH LAKE APTS BLDG 1;3.9;1.2;1;261.82998;259.02999;12;;2002-09-17 12:35:26+00:00;CONCRETE;CIRCULAR;2.257;City;124.0282488;New Hope Creek;PRIVATE
3212;05479-PP1;18B.800-PP1;SILHOUETTE + ASHFORD;4.59999;5.09999;1;327.17999;326.54998;12;;2002-10-22 15:58:44+00:00;CONCRETE;CIRCULAR;2.4;City;26.25247607;Third Fork Creek;CITY-ROW
3218;03070-PP1;15E.1046-PP1;PHYSICAL PLANT;2.7;2.79999;1;344.08999;342.04998;12;;2002-09-17 12:31:30+00:00;CONCRETE;CIRCULAR;3.046;City;66.98275151;Third Fork Creek;STATE
3219;03071-PP1;15E.1047-PP1;PHYSICAL PLANT;1.89999;2.59999;1;344.75;344.19;12;;2002-09-17 12:31:30+00:00;CONCRETE;CIRCULAR;1.506;City;37.15408591;Third Fork Creek;STATE
3225;04423-PP1;16B.1342-PP1;STERLING RIDGE LN;4.09999;3.2;1;298.45001;298.67999;12;;2002-11-13 13:20:35+00:00;CONCRETE;CIRCULAR;-0.59;City;38.88607077;New Hope Creek;CITY-ROW
3281;04085-PP1;16B.998-PP1;CAMBRIDGE + BANBURY;1.2;1.6;1;340.02999;334.51998;12;;2002-07-30 10:57:20+00:00;CONCRETE;CIRCULAR;4.543;City;121.2840319;Third Fork Creek;CITY-ROW
3310;06979-PP1;22D.559-PP1;PETTIGREW ST. AND MANGUM ST.;2.2;3;1;376.17001;373.64001;12;;2013-01-08 12:05:11+00:00;CONCRETE;CIRCULAR;1.027;City;246.3244618;Third Fork Creek;COUNTY
3353;04711-PP1;16B.1654-PP1;DEVON + BUCKINGHAM;1.29999;3.2;1;302.58999;299.6;12;;2002-09-17 12:35:02+00:00;CONCRETE;CIRCULAR;4.515;City;66.20831141;Third Fork Creek;CITY-ROW
3447;04318-PP1;16B.1236-PP1;BEECH LAKE APTS.;4.5;5.3;1;282.76998;274.14999;12;;2002-07-30 10:56:10+00:00;CONCRETE;CIRCULAR;7.869;City;109.5348748;New Hope Creek;PRIVATE
3455;05620-PP1;18B.942-PP1;S ROXBORO + GAITHERS POINTE;7.9;7;1;313.69;313.82;12;;2002-10-22 15:59:39+00:00;CONCRETE;CIRCULAR;-0.49;City;26.5555738;Third Fork Creek;CITY-ROW
3456;05621-PP1;18B.943-PP1;S ROXBORO + GAITHERS POINTE;5.69999;5.59999;1;324.98999;323.16;12;;2002-10-22 15:59:40+00:00;CONCRETE;CIRCULAR;3.57;City;51.24453239;Third Fork Creek;CITY-ROW
8278;11755-PP1;34C.231-PP1;NCDOP GUESS RD JAIL;1.2;1.2;1;371.27999;370.86999;12;;2002-03-18 14:14:05+00:00;CONCRETE;CIRCULAR;1.274;City;32.17656911;Eno River;STATE
8331;10431-PP1;32X.4374-PP1;NORTHGATE PK OFF CLUB BD;1.2;1.2;1;300.85;300.73999;12;;2006-04-11 18:46:13+00:00;CONCRETE;CIRCULAR;0.546;City;20.13918817;Ellerbe Creek;CITY
8379;08822-PP1;29X.3151-PP1;MT. MORIAH RD. + SUNLIGHT DR.;2.2;3.59999;1;273.86999;273.01;12;;2002-12-20 12:59:47+00:00;HDPE-CORRUGATED;CIRCULAR;1.412;City;60.91148003;New Hope Creek;PRIVATE
8417;05547-PP1;18B.869-PP1;805 CLEARVIEW LN;5.69999;4.3;1;333.39999;340.51;12;;2003-03-31 14:06:13+00:00;CONCRETE;CIRCULAR;-6.872;City;103.4510633;Third Fork Creek;CITY-ROW
8460;05724-PP1;18E.83-PP1;1304 SEATON RD;4.8;6;1;285.16;282.54;12;;2002-10-22 16:05:34+00:00;CONCRETE;CIRCULAR;2.332;City;112.2929472;Northeast Creek;PRIVATE
8474;06647-PP1;22D.208-PP1;807 ELM ST.;3.4;5.19999;1;340.89001;339.95999;12;;2001-08-02 15:38:48+00:00;CLAY;CIRCULAR;2.923;City;31.813527;Ellerbe Creek;CITY-ROW
8535;04919-PP1;18B.203-PP1;10 WYNMORE DR;4.3;8.1;1;290.01;289.54;12;;2002-10-22 16:16:20+00:00;CONCRETE;CIRCULAR;0.813;City;57.7316014;Third Fork Creek;CITY-ROW
8541;11425-PP1;33D.2-PP1;DRIVER ST & MAIN ST;4.19999;3.2;1;383.83999;382.89001;12;;2001-09-20 19:19:35+00:00;CLAY;CIRCULAR;0.917;City;102.2299374;Ellerbe Creek;CITY-ROW
8578;08109-PP1;26D.75-PP1;ALTERRA WYNWOOD;9.6;1.29999;1;290.36999;290.29998;12;;2002-09-26 13:37:01+00:00;CONCRETE;CIRCULAR;0.294;City;23.81959907;Little Creek;PRIVATE
8597;07994-PP1;25C.874-PP1;CEDARWOOD VILLAS;1.2;1.2;1;306.5;303.64999;12;;2002-06-20 17:46:13+00:00;CONCRETE;CIRCULAR;8.755;City;32.54358308;Third Fork Creek;PRIVATE
8601;06689-PP1;22D.253-PP1;CANAL ST. HAZEL ST.;1.39999;3;1;339.17001;337.98001;12;;2007-02-21 17:37:45+00:00;CONCRETE;CIRCULAR;5.685;City;20.91547035;Ellerbe Creek;PRIVATE
8655;08840-PP1;29X.3169-PP1;MT. MORIAH RD. + SUNLIGHT DR.;3.79999;5.5;1;270.75;269.64999;12;;2002-12-20 12:59:53+00:00;HDPE-CORRUGATED;CIRCULAR;1.541;City;71.36421092;New Hope Creek;PRIVATE
8741;10218-PP1;32X.4145-PP1;BUCHANAN BD & MAIN ST;3.5;3.5;1;405.94;405.47;12;;2007-11-19 16:42:04+00:00;CONCRETE;CIRCULAR;0.996;City;47.20357296;Ellerbe Creek;DOT-ROW
8828;19298-PP1;45B.2131-PP1;KINGS PARK COMMUNITY;3;4.3;1;307.08999;303.20001;12;;2013-02-28 16:16:44+00:00;CONCRETE;CIRCULAR;2.463;City;157.8369428;Third Fork Creek;PRIVATE
10114;09012-PP2;29X.3358-PP2;NEAR TENNIS ARENA;2.9;2.2;1;385.72;385.29;12;;2003-03-20 11:32:52+00:00;HDPE-CORRUGATED;CIRCULAR;2.686;City;16.01577347;Sandy Creek;PRIVATE
10121;19343-PP1;45C.5036-PP1;1108 CORNWALLIS RD.;1.2;;1;380.95999;379.44;12;;2007-04-19 11:15:20+00:00;CONCRETE;CIRCULAR;2.735;City;92.85944055;New Hope Creek;PRIVATE
10143;09520-PP1;311C.233-PP1;5616 CHIN PAGE RD;10.19999;5.8;1;371.76998;369.29998;12;;2001-11-20 15:15:13+00:00;CONCRETE;CIRCULAR;1.491;City;165.6054604;Stirrup Iron Creek;PRIVATE
10270;09076-PP1;29X.3425-PP1;RESEARCH DR @ DUKE U MED CTR;2.9;3.7;1;349.29;349.23999;12;;2002-12-20 13:00:08+00:00;CONCRETE;CIRCULAR;0.199;City;25.10239032;Sandy Creek;PRIVATE
10309;08962-PP1;29X.3306-PP1;532 FINLEY ST;3;3.09999;1;429.72;427.45001;12;;2002-11-07 17:45:07+00:00;CONCRETE;CIRCULAR;2.531;City;89.70460412;Mud Creek;PRIVATE
10331;09845-PP1;31X.5163-PP1;301 MAYNARD AV;1.7;1.2;1;329.55999;328.07998;12;;2006-04-11 18:46:13+00:00;CONCRETE;CIRCULAR;2.583;City;57.27219221;Ellerbe Creek;PRIVATE
10363;12092-PP1;35C.2013-PP1;2831 CHAPEL HILL ROAD;0.2;0.69999;1;394.51998;393.1;12;;2009-11-25 15:19:07+00:00;METAL-CORRUGATED;CIRCULAR;2.081;City;68.19479452;New Hope Creek;DOT-ROW
10423;15405-PP1;39A.486-PP1;TIRE KING @ 119 N. LASALLE ST;2.7;3.2;1;408.35;407.89001;12;;2002-10-07 15:14:00+00:00;CONCRETE;CIRCULAR;1.068;City;43.07247961;Sandy Creek;PRIVATE
10536;09518-PP1;311C.230-PP1;5616 CHIN PAGE RD;6.4;4.4;1;368.70001;360.48999;12;;2001-11-20 15:15:15+00:00;CONCRETE;CIRCULAR;5.928;City;138.4949216;Stirrup Iron Creek;PRIVATE
7842;06882-PP1;22D.454-PP1;HOLLOWAY ST. AND QUEEN ST.;2.4;2.4;1;395.91;395.45001;12;;2001-08-02 16:28:42+00:00;CONCRETE;CIRCULAR;2.297;City;20.03409344;Ellerbe Creek;PRIVATE
7893;05140-PP1;18B.427-PP1;HOMEPLACE II BLDG 32;1;1;1;302.79998;302.42999;12;;2002-10-22 15:56:39+00:00;METAL-CORRUGATED;CIRCULAR;1.875;City;19.72126264;Third Fork Creek;PRIVATE
7894;05142-PP1;18B.429-PP1;HOMEPLACE II BLDG 32;1;1;1;301.70999;300.45999;12;;2002-10-22 15:56:40+00:00;METAL-CORRUGATED;CIRCULAR;6.391;City;19.56022495;Third Fork Creek;PRIVATE
7939;15704-PP1;39B.2087-PP1;TRENT DR HALL;2.7;3.4;1;403.04998;402.29998;12;;2002-12-18 15:34:26+00:00;CONCRETE;CIRCULAR;2.665;City;28.14217653;Sandy Creek;PRIVATE
7942;15707-PP1;39B.2090-PP1;WEST CIRCUIT DR& TOWERVIEW;;1;1;;364.52999;12;;2003-01-17 10:23:28+00:00;PVC;CIRCULAR;;City;86.48721524;Sandy Creek;PRIVATE
8025;02408-PP1;15A.141-PP1;INGLENOOK CT;;1.2;1;347.70001;343.48999;12;;2002-09-25 15:53:49+00:00;HDPE-CORRUGATED;CIRCULAR;5.953;City;70.70597853;Third Fork Creek;PRIVATE
8095;11294-PP1;33C.1173-PP1;512 HARDEE ST;1.2;1.2;1;;;12;;2001-11-14 12:29:27+00:00;CONCRETE;CIRCULAR;;City;38.21096832;Ellerbe Creek;CITY-ROW
8096;11295-PP1;33C.1174-PP1;608 HARDEE ST;1.2;1.2;1;377.79998;377.20001;12;;2001-09-20 18:32:19+00:00;CONCRETE;CIRCULAR;1.336;City;44.86246204;Ellerbe Creek;CITY-ROW
8164;02642-PP1;15B.180-PP1;DUNBARTON COMMUNITY;2.29999;2.79999;1;330.73001;327.38;12;;2002-06-20 17:50:57+00:00;CONCRETE;CIRCULAR;4.148;City;80.74752566;Third Fork Creek;PRIVATE
8205;02648-PP1;15B.186-PP1;DUNBARTON COMMUNITY;1.29999;;1;317.27999;316.01;12;;2002-09-25 15:55:02+00:00;CONCRETE;CIRCULAR;4.944;City;25.69266238;Third Fork Creek;PRIVATE
8213;04618-PP1;16B.1545-PP1;UNITARIAN UNIVERSALISTS BLDG;1.1;1.1;1;274.82;272.16;12;;2002-07-30 10:54:45+00:00;HDPE-CORRUGATED;CIRCULAR;18.524;City;14.35810921;New Hope Creek;PRIVATE
9431;08926-PP1;29X.3264-PP1;FOREST APTS CONSTITUTION DR;6.09999;1.2;1;373.30999;367.16;12;;2002-10-07 15:14:16+00:00;CONCRETE;CIRCULAR;8.344;City;73.70001085;Mud Creek;PRIVATE
9471;20013-PP1;45D.634-PP1;ANDERSON ST & CRANFORD RD;3.59999;4.69999;1;342.69;341.98001;12;;2002-06-20 17:43:20+00:00;CONCRETE;CIRCULAR;2.041;City;34.76241217;Sandy Creek;CITY-ROW
9473;11628-PP1;34C.79-PP1;STADIUM;3.09999;4.59999;1;405.48001;403.6;12;;2012-03-29 14:08:40+00:00;PVC;CIRCULAR;1.336;City;140.7272092;Eno River;COUNTY
9484;09164-PP1;29X.3516-PP1;RESEARCH & SCIENCE;4.3;3.5;1;328.97;329.20999;12;;2011-12-15 16:59:13+00:00;IRON-DUCTILE;CIRCULAR;-1.039;City;23.11098656;Sandy Creek;PRIVATE
